CLAVE,NOMBRE,DESCRIPCION
060-841-0262-11,"SUTURAS SINTETICAS NO ABSORBIBLES, MONOFILAMENTO DE POLIPROPILENO, CON AGUJA. CALIBRE DE SUTURA. 5-0 ","LONGITUD DE LA HEBRA. 90 CM CARACTERISTICAS DE LA AGUJA. 1/2 CIRCULO, DOBLE ARMADO AHUSADA (15-17 MM)."
060-841-0254-11,"SUTURAS SINTETICAS NO ABSORBIBLES, MONOFILAMENTO DE POLIPROPILENO, CON AGUJA. CALIBRE DE SUTURA. 6-0 ","LONGITUD DE LA HEBRA. 75 CM CARACTERISTICAS DE LAAGUJA. 3/8 DE CIRCULO, DOBLE ARMADO AHUSADA (12-13 MM)."
060-456-0530-99,GUANTES NO. 6.5 ORTOPEDICO, C/40 PIEZAS
060-483-0125-00,HOJAS P/BISTURI NO. 11 ,C/100 PZAS.
060-697-0267-11,PASTA O GEL CONDUCTIVA PARA ELECTROCARDIOGRAMA. ,ENVASE CON 120 ML.
060-066-1003-02,DESINFECTANTES. SOLUCION ESTERILIZANTE Y DESINFECTANTE DE SUPEROXIDACION CON PH NEUTRO.,
060-066-0907-00,"SOLUCION ANTISEPTICA ALCOHOL ETILICO AL 61% (AVAGAR ""D"") ",REF. 9222
060-066-0572-99,"DISPENSADOR PARA AVAGAR ""D""",
060-456-0386-99,"GUANTES DE LATEX TAMAÑO MEDIANO, NO ESTERILES ",C/ 100
060-456-0385-99,"GUANTES DE LATEX TAMAÑO CHICO, NO ESTERILES ",C/ 100
010-000-1957-00,AMIKACINA SOLUCIÓN INYECTABLE 100MG/2ML ,CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 100 MG DE AMIKACINA. ENVASE CON 1 AMPOLLETA O FRASCO AMPULA CON 2 ML.
010-000-1956-00,AMIKACINA SOLUCÓN INYECTABLE. 500MG/2ML ,CONTIENE: SULFATO DE AMIKACINA EQUIVALENTE A 500 MG DE AMIKACINA. ENVASE CON 1 AMPOLLETA O FRASCO ÁMPULA CON 2 ML.
010-000-2127-00,AMOXICILINA SUSPENSIÓN ORAL.CADA FRASCO CON POLVO (500MG/5ML),CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 7.5 G DE AMOXICILINA. ENVASE CON POLVO PARA 75 ML (500MG/5ML) 
010-000-2230-00,AMOXICILINA -ÁCIDO CLAVULÁNICO TABLETA (500MG/125 MG),CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMOXILINA. CLAVULANATO DE POTASIO EQUIVALENTE A 125 MG DE ÁCIDO CLAVULÁNICO. ENVASE CON 12 TABLETAS.
010-000-2128-00,AMOXICILINA CÁPSULA. (500MG),CADA CÁPSULA CONTIENE AMOXICILINA TRIHIDRATADA EQUIVALENTE A 500MG DE AMOXICILINA. ENVASE CON 12 CÁPSULAS.  
010-000-2129-00,AMOXICILINA-ACIDO CLAVULÁNICO. SUSPENSIÓN ORAL. (1.5G / 375MG),"CADA FRASCO CON POLVO CONTIENE: AMOXICILINA TRIHIDRATADA EQUIVALENTE A 1.5 G DE AMOXICILINA. CLAVULANATO DE POSTASIO EQUIVALENTE A 375MG DE ÁCIDO CLAVULÁNICO. ENVASE CON 60 ML, CADA 5 ML CON 125MG DE AMOXICILINA Y 31.25 MG ÁCIDO CLAVULÁNICO. "
010-000-1929-00,AMPICILINA TABLETA O CÁPSULA (500MG),CONTIENE: AMPICILINA ANHIDRA O AMPICILINA TRIHIDRATADA EQUIVALENTE A 500 MG DE AMPICILINA. ENVASE CON 20 TABLETAS O CÁPSULAS.
010-000-1930-00,AMPICILINA TRIHIDRATADA SOLUCIÓN ORAL (250MG/5ML),CADA 5 ML CONTIENEN: AMPICILINA TRIHIDRATADA EQUIVALENTE A 250 MG DE AMPICILINA. ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR
010-000-1931-00,"AMPICILINA, SOLUCIÓN INYECTABE (500MG/2ML)",CADA FRASCO ÁMPULA CON POLVO CONTIENE: AMPICILINA SÓDICA EQUIVALENTE A 500 MG. CAJA CON FRASCO ÁMPULA CONTENIENDO 500 MG Y AMPOLLETA CON AGUA INYECTABLE COMO DILUYENTE 2 ML. 
010-000-1924-00,BENCILPENICILINA PROCAÍNICA -BENCILPENICILINA CRISTALINA SUSPENSIÓN INYECTABLE (600 000 UI / 2ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: BENCILPENICILINA PROCAÍNICA EQUIVALENTE A 600 000 UI DE BENCILPENICILINA BENCILPENICILINA CRISTALINA EQUIVALENTE A 200 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA Y 2 ML DE DILUYENTE.
010-000-1923-00,BENCILPENICILINA PROCAINICA -BENCILPENICILINA CRISTALINA SUSPENSIÓN INYECTABLE. (300 000 UI / 2ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: BENCILPENICILINA PROCAÍNICA EQUIVALENTE A 300 000 UI DE BENCILPENICILINA BENCILPENICILINA CRISTALINA EQUIVALENTE A 100 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO ÁMPULA Y 2 ML DE DILUYENTE.
010-000-1933-00,BENCILPENICILINA SÓDICA CRISTALINA SOLUCIÓN INYECTABLE (5 000 000 UI),CADA FRASCO AMPULA CON POLVO CONTIENE: BENCILPENICILINA SÓDICA CRISTALINA EQUIVALENTE A 5 000 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO ÁMPULA.
010-000-1921-00,BENCILPENICILINA SÓDICA CRISTALINA SOLUCIÓN INYECTABLE (1 000 000 UI),"CADA FRASCO ÁMPULA CON POLVO CONTIENE: BENCILPENICILINA SÓDICA CRISTALINA EQUIVALENTE A 1000 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO AMPULA, CON O SIN 2 ML DE DILUYENTE."
010-000-1925-00,BENZATINA BENCILPENICILINA SUSPENSIÓN INYECTABLE (1 200 000 UI),CADA FRASCO ÁMPULA CON POLVO CONTIENE: BENZATINA BENCILPENICILINA EQUIVALENTE A 1 200 000 UI DE BENCILPENICILINA. ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.
010-000-1939-00,CEFALEXINA CÁPSULA O TABLETA. (500MG),CADA TABLETA O CÁPSULA CONTIENE: CEFALEXINA MONOHIDRATADA EQUIVALENTE A 500 MG DE CEFALEXICNA. ENVASE CON 20 CÁPSULAS O TABLETAS
010-000-5256-00,CEFALOTINA SOLUCIÓN INYECTABLE (1GR / 5ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: CEFALOTINA SÓDICA EQUIVALENTE A 1 G DE CEFALOTINA. ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.
010-000-1935-00,CEFOTAXIMA SOLUCIÓN INYECTABLE. (1GR / 4ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: CEFOTAXIMA SÓDICA EQUIVALENTE A 1 G DE CEFOTAXIMA. ENVASE CON UN FRASCO ÁMPULA Y 4 ML DE DILUYENTE.
010-000-4254-00,CEFTAZIDIMA SOLUCIÓN INYECTABLE. (1GR / 3ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: CEFTAZIDIMA PENTAHIDRATADA EQUIVALENTE A 1 G DE CEFTAZIDIMA. ENVASE CON UN FRASCO ÁMPULA Y 3 ML DE DILUYENTE.
010-000-1937-00,CEFTRIAXONA SOLUCIÓN INYECTABLE. (1GR / 10ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: CEFTRIAXONA SÓDICA EQUIVALENTE A 1 G DE CEFTRIAXONA. ENVASE CON UN FRASCO ÁMPULA Y 10 ML DE DILUYENTE.
010-000-4259-00,CIPROFLOXACINO SOLUCIÓN INYECTABLE (200MG/100ML),CADA 100 ML CONTIENE: LACTATO O CLORHIDRATO DE CIPROFLOXACINO EQUIVALENTE A 200 MG DE CIPROFLOXACINO. ENVASE CON 100 ML.
010-000-4255-00,CIPROFLOXACINO TABLETA O CÁPSULA (250MG),CADA CÁPSULA O TABLETA CONTIENE: CLORHIDRATO DE CIPROFLOXACINO MONOHIDRATADO EQUIVALENTE A 250 MG DE CIPROFLOXACINO. ENVASE CON 8 CÁPSULAS O TABLETAS.)
010-000-2133-00,CLINDAMICINA CÁPSULA. (300MG),CADA CÁPSULA CONTIENE: CLORHIDRATO DE CLINDAMICINA EQUIVALENTE A 300 MG DE CLINDAMICINA. ENVASE CON 16 CÁPSULAS.
010-000-1973-00,CLINDAMICINA SOLUCIÓN INYECTABLE (300MG / 2ML),CADA AMPOLLETA CONTIENE: FOSFATO DE CLINDAMICINA EQUIVALENTE A 300 MG DE CLINDAMICINA. ENVASE AMPOLLETA CON 2 ML.
010-000-1926-00,DICLOXACILINA CAPSULA O COMPRIMIDO (500MG),CADA CAPSULA O COMPRIMIDO CONTIENE: DICLOXACILINA SODICA 500 MG ENVASE CON 20 CAPSULAS O COMPRIMIDOS.
010-000-1928-00,DICLOXACILINA SOLUCIÓN INYECTABLE (250MG / 5ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: DICLOXACILINA SÓDICA EQUIVALENTE A 250 MG DE DICLOXACILINA. ENVASE FRASCO ÁMPULA Y 5 ML DE DILUYENTE.
010-000-1927-00,DICLOXACILINA SUSPENSIÓN ORAL (250MG/5ML),CADA 5 ML CONTIENEN: DICLOXACILINA SÓDICA 250 MG.ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.
010-000-1940-00,DOXICICLINA CÁPSULA O TABLETA. (100MG),CADA CÁPSULA O TABLETA CONTIENE: HICLATO DE DOXICICLINA EQUIVALENTE A 100 MG DE DOXICILINA. ENVASE CON 10 CÁPSULAS O TABLETAS.
010-000-1972-00,ERITROMICINA  SUSPENSIÓN ORAL. (250MG / 100ML),CADA 5 ML CONTIENEN:  ESTEARATO O ETILSUCCINATO O ESTOLATO DE ERITROMICINA EQUIVALENTE A 250 MG. DE ERITROMICINA. ENVASE CON POLVO PARA 100ML Y DOSIFICADOR.
010-000-1971-00,ERITROMICINA CÁPSULA O TABLETA. (500MG),CADA CÁPSULA O TABLETA CONTIENE: ESTEARATO DE ERITROMIDICNA EQUIVALENTE A 500MG DE ERITROMICINA. ENVASE CON 20 CÁPSULAS O TABLETAS. 
010-000-1954-00,GENTAMICINA SOLUCIÓN INYECTABLE (80MG / 2ML),CADA AMPOLLETA CONTIENE: SULFATO DE GENTAMICINA EQUIVALENTE A 80 MG DE GENTAMICINA. ENVASE CON AMPOLLETA CON 2 ML.
010-000-5265-00,IMIPENEM Y CILASTATINA SOLUCIÓN INYECTABLE. (500MG),CADA FRASCO ÁMPULA CON POLVO CONTIENE: IMIPENEM MONOHIDRATADO EQUIVALENTE A 500 MG DE IMIPENEM. CILASTATINA SÓDICA EQUIVALENTE A 500 MG DE CILASTATINA. ENVASE CON UN FRASCO ÁMPULA  
010-000-4249-00,LEVOFLOXACINO SOLUCIÓN INYECTABLE (500MG / 100ML),CADA ENVASE CONTIENE: LEVOFLOXACINO HEMIHIDRATADO EQUIVALENTE A 500 MG DE LEVOFLOXACINO. ENVASE CON 100 ML.
010-000-4299-00,LEVOFLOXACINO TABLETA. (500MG),CADA TABLETA CONTIENE: LEVOFLOXACINO HEMIHIDRATADO EQUIVALENTE A 500 MG DE LEVOFLOXACINO. ENVASE CON 7 TABLETAS.
010-000-2136-00,MEBENDAZOL TABLETA (100MG),CADA TABLETA CONTIENE MEBENDAZOL 100MG. ENVASE CON 6 TABLETAS 
010-000-5291-00,MEROPENEM SOLUCIÓN INYECTABLE. (500MG),CADA FRASCO ÁMPULA CON POLVO CONTIENE: MEROPENEM TRIHIDRATADO EQUIVALENTE A 500 MG DE MEROPENEM. ENVASE CON 1 FRASCO ÁMPULA.
010-000-1311-00,METRONIDAZOL SOLUCIÓN INYECTABLE. (500MG / 100ML),CADA 100 ML CONTIENEN: METRONIDAZOL 500 MG. ENVASE CON 100 ML.
010-000-1309-00,METRONIDAZOL SOLUCION INYECTABLE (200MG / 10ML),CADA AMPOLLETA O FRASCO AMPULA CONTIENE: METRONIDAZOL 200 MG ENVASE CON 2 AMPOLLETAS O FRASCOS AMPULA CON 10 ML.
010-000-1911-00,NITROFURANTOÍNA CÁPSULA (100MG),CADA CÁPSULA CONTIENE: NITROFURANTOÍNA 100MG . ENVASE CON 40 CÁPSULAS. 
010-000-5302-00,NITROFURANTOÍNA SUSPENSIÓN ORAL (500MG / 120ML) (25MG / 5ML),CADA 100 ML CONTIENEN: NITROFURANTOÍNA 500 MG. ENVASE CON 120 ML (25 MG/5 ML).
010-000-4261-00,OFLOXACINA TABLETA (400MG),CADA TABLETA CONTIENE OFLOXACINA  400 MG. ENVASE CON 8 TABLETAS.
010-000-1903-00,TRIMETOPRIMA -SULFAMETOXAZOL COMPRIMIDO O TABLETA. (80/400MG),CADA COMPRIMIDO O TABLETA CONTIENE: TRIMETOPRIMA 80 MG SULFAMETOXAZOL 400 MG. ENVASE CON 20 COMPRIMIDOS O TABLETAS.
010-000-5255-00,TRIMETOPRIMA -SULFAMETOXAZOL SOLUCIÓN INYECTABLE (160/800MG 3ML),CADA AMPOLLETA CONTIENE: TRIMETOPRIMA 160 MG SULFAMETOXAZOL 800 MG ENVASE CON 6 AMPOLLETAS CON 3 ML.
010-000-1904-00,TRIMETOPRIMA -SULFAMETOXAZOL SUSPENSION ORAL (40MG / 200MG 120ML),CADA 5 ML CONTIENEN: TRIMETOPRIMA 40 MG SULFAMETOXAZOL 200 MG. ENVASE CON 120 ML Y DOSIFICADOR.
010-000-4251-00,VANCOMICINA SOLUCIÓN INYECTABLE. (500MG),CADA FRASCO ÁMPULA CON POLVO CONTIENE: CLORHIDRATO DE VANCOMICINA EQUIVALENTE A 500 MG DE VANCOMICINA. ENVASE CON UN FRASCO ÁMPULA.
010-000-4264-00,ACICLOVIR SOLUCIÓN INYECTABLE. (250MG),CADA FRASCO ÁMPULA CON LIOFILIZADO CONTIENE: ACICLOVIR SÓDICO EQUIVALENTE A 250 MG DE ACICLOVIR. ENVASE CON 5 FRASCOS ÁMPULA.
010-000-0103-00,ACIDO ACETILSALICÍLICO TABLETA SOLUBLE O EFERVESCENTE. (300MG),CADA TABLETA SOLUBLE O EFERVESCENTE CONTIENE:ÁCIDO ACETILSALICÍLICO 300 MG ENVASE CON 20 TABLETAS SOLUBLES O EFERVESCENTES.
010-000-0101-00,ACIDO ACETILSALICÍLICO TABLETA. (500MG),CADA TABLETA CONTIENE: ÁCIDO ACETILSALICÍLICO 500 MG. ENVASE CON 20 TABLETAS.
010-000-2707-00,ACIDO ASCÓRBICO TABLETA.(100MG),CADA TABLETA CONTIENE: ÁCIDO ASCÓRBICO 100 MG ENVASE CON 20 TABLETAS.
010-000-1711-00,ACIDO FÓLICO TABLETA.(0.4 MG),CADA TABLETA CONTIENE ÁCIDO FÓLICO 0.4 MG. ENVASE CON 90 TABLETAS. 
010-000-1706-00,ACIDO FÓLICO TABLETA. (5MG),CADA TABLETA CONTIENE: ÁCIDO FÓLICO 5 MG. ENVASE CON 20 TABLETAS.
010-000-4185-00,ACIDO URSODEOXICÓLICO CÁPSULA. (250MG),CADA CÁPSULA CONTIENE: ÁCIDO URSODEOXICÓLICO 250 MG. ENVASE CON 50 CÁPSULAS.
010-000-5099-00,ADENOSINA. SOLUCIÓN INYECTABLE. (6MG/2ML),CADA FRASCO ÁMPULA CONTIENE: ADENOSINA 6 MG. ENVASE CON 6 FRASCOS ÁMPULA CON 2 ML. 
010-000-3674-00,AGUA INYECTABLE SOLUCIÓN INYECTABLE. (10ML),CADA AMPOLLETA CONTIENE: AGUA INYECTABLE 10 ML. ENVASE CON 100 AMPOLLETAS CON 10 ML.
010-000-1345-00,ALBENDAZOL SUSPENSIÓN ORAL.,CADA FRASCO CONTIENE: ALBENDAZOL 400 MG ENVASE CON 20 ML. 
010-000-1344-00,ALBENDAZOL TABLETA (200MG),CADA TABLETA CONTIENE: ALBENDAZOL 200 MG ENVASE CON 2 TABLETAS
010-000-0871-00,ALIBOUR POLVO. ,CADA GRAMO CONTIENE: SULFATO DE COBRE 177.0 MG SULFATO DE ZINC 619.5 MG ALCANFOR 26.5 MG. ENVASE CON 12 SOBRES CON 2.2 G.
010-000-1224-00,ALUMINIO –MAGNESIO SUSPENSIÓN ORAL ,CADA 100 ML CONTIENEN: HIDRÓXIDO DE ALUMINIO 3.7 G HIDROXIDO DE MAGNESIO 4.0 G O TRISILICATO DE MAGNESIO: 8.9 G ENVASE CON 240 ML Y DOSIFICADOR.
010-000-2463-00,AMBROXOL SOLUCION (300MG / 120ML),CADA 100 ML CONTIENEN: CLORHIDRATO DE AMBROXOL 300 MG ENVASE CON 120 ML Y DOSIFICADOR
010-000-2012-00,AMFOTERICINA B SOLUCIÓN INYECTABLE (50MG),CADA FRASCO ÁMPULA CON POLVO CONTIENE: AMFOTERICINA B 50 MG ENVASE CON UN FRASCO ÁMPULA.
010-000-0426-00,AMINOFILINA SOLUCIÓN INYECTABLE (250MG/10ML),CADA AMPOLLETA CONTIENE: AMINOFILINA 250 MG .ENVASE CON 5 AMPOLLETAS DE 10 ML.
010-000-4107-00,AMIODARONA  SOLUCIÓN INYECTABLE (150MG),CADA AMPOLLETA CONTIENE: CLORHIDRATO DE AMIODARONA 150 MG. ENVASE CON 6 AMPOLLETAS DE 3 ML. 
010-000-5106-00,ATORVASTATINA TABLETA (20MG),CADA TABLETA CONTIENE: ATORVASTATINA CALCICA TRIHIDRATADA EQUIVALENTE A 20 MG DE ATORVASTATINA. ENVASE CON 10 TABLETAS.
010-000-1546-00,ATOSIBÁN SOLUCIÓN INYECTABLE. (37.5MG / 5ML),CADA FRASCO ÁMPULA CONTIENE: ATOSIBÁN 37.5 MG. ENVASE CON 5.0ML 
010-000-1545-00,ATOSIBÁN SOLUCIÓN INYECTABLE. (6.75MG/ 0.9ML),CADA FRASCO ÁMPULA CONTIENE: ATOSIBÁN 6.75 MG. ENVASE CON 0.9ML 
010-000-0204-00,ATROPINA SOLUCIÓN INYECTABLE. (1MG/1ML),CADA AMPOLLETA CONTIENE: SULFATO DE ATROPINA 1 MG. ENVASE CON 50 AMPOLLETAS CON  1 ML. 
010-000-0801-00,BAÑO COLOIDE POLVO. ,CADA GRAMO CONTIENE: HARINA DE SOYA 965 MG (CONTENIDO PROTEICO 45%) POLIVIDONA 20 MG. ENVASE CON UN SOBRE INDIVIDUAL DE 90 G.
010-000-0477-00,BECLOMETASONA DIPROPIONATO DE SUSPENSIÓN EN AEROSOL. (50MCG),CADA INHALACIÓN CONTIENE: DIPROPIONATO DE BECLOMETASONA 50 MICROGRAMOS. ENVASE CON DISPOSITIVO INHALADOR PARA 200 DOSIS.
010-000-0861-00,BENCILO EMULSION DÉRMICA. (300MG),CADA ML CONTIENE: BENZOATO DE BENCILO 300 MG. ENVASE CON 120 ML.
010-000-2141-00,BETAMETASONA SOLUCIÓN INYECTABLE ( 5.3MG / 1ML ),CADA AMPOLLETA O FRASCO AMPULA CONTIENE: FOSFATO SODICO DE BETAMETASONA 5.3 MG EQUIVALENTE A 4 MG DE BETAMETASONA. ENVASE CON UN FRASCO AMPULA O UNA AMPOLLETA CON 1 ML.
010-000-2119-00,BETAMETASONA UNGÜENTO (64MG),CADA 100 GRAMOS CONTIENE: DIPROPIONATO DE BETAMETASONA 64 MG EQUIVALENTE A 50 MG DE BETAMETASONA. ENVASE CON 30 G
010-000-0655-00,BEZAFIBRATO TABLETA. (200MG),CADA TABLETA CONTIENE: BEZAFIBRATO 200 MG. ENVASE CON 30 TABLETAS.
010-000-3619-00,BICARBONATO DE SODIO SOLUCIÓN INYECTABLE AL 7.5% ,CADA AMPOLLETA CONTIENE: BICARBONATO DE SODIO 0.75 G. ENVASE CON 50 AMPOLLETAS DE 10 ML. CADA AMPOLLETA CON 10 ML CONTIENE: BICARBONATO DE SODIO 8.9 MILIEQUIVALENTE.
010-000-4332-00,BUDESONIDA SUSPENSIÓN PARA NEBULIZAR. (0.250MG / 2ML),CADA ENVASE CONTIENE: BUDESONIDA (MICRONIZADA) 0.250 MG. ENVASE CON 5 ENVASES CON 2 ML
010-000-4333-00,BUDESONIDA SUSPENSIÓN PARA NEBULIZAR. (0.500MG / 2ML),CADA ENVASE CONTIENE: BUDESONIDA (MICRONIZADA) 0.500 MG. ENVASE CON 5 ENVASES CON 2 ML.
010-000-4055-00,BUPIVACAÍNA  SOLUCIÓN INYECTABLE. (15MG/240MG),CADA AMPOLLETA CONTIENE: CLOHIDRATO DE BUPIVACAÍNA 15 MG. DEXTROSA ANHIDRA O GLUCOSA ANHIDRA 240 MG O GLUCOSA MONOHIDRATADA EQUIVALENTE A 240 MG DE GLUCOS ANHIDRA. ENVASE CON 5 AMPOLLETAS CON 3 ML. 
010-000-0271-00,BUPIVACAÍNA  SOLUCIÓN INYECTABLE. (5MG/30ML),CADA ML CONTIENE: CLORHIDRATO DE BUPIVACAÍNA 5 MG. ENVASE CON 30 ML. 
010-000-1206-00,BUTILHIOSCINA O HIOSCINA GRAGEA O TABLETA. (10MG),CADA GRAGEA O TABLETA CONTIENE: BROMURO DE BUTILHIOSCINA O BUTILBROMURO DE HIOSCINA 10 MG.  ENVASE CON 10 GRAGEAS O TABLETAS.
010-000-1207-00,BUTILHIOSCINA SOLUCIÓN INYECTABLE. (20MG / 1ML),CADA AMPOLLETA CONTIENE: BROMURO DE BUTILHIOSCINA 20 MG ENVASE CON 3 AMPOLLETAS DE 1 ML.
010-999-0101-00,"CAFEINA, CITRATO DE, INYECTABLE (200MG) ",ENVASE CON 10 AMPULAS CON 1 ML
010-000-1006-00,CALCIO COMPRIMIDO EFERVESCENTE. (2.94GRS / 300MG),CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE. ENVASE CON 12 COMPRIMIDOS.
010-000-1095-00,CALCITRIOL CÁPSULA DE GELATINA BLANDA (0.25 MCG),CADA CÁPSULA CONTIENE: CALCITRIOL 0.25 MICROGRAMOS. ENVASE CON 50 CAPSULAS.
010-000-0574-00,CAPTOPRIL TABLETA. (25MG),CADA TABLETA CONTIENE: CAPTOPRIL 25 MG. ENVASE CON 30 TABLETAS.
010-000-1541-00,CARBETOCINA SOLUCIÓN INYECTABLE. (100MCG),CADA AMPOLLETA O FRASCO ÁMPULA CONTIENE: CARBETOCINA 100 MICROGRAMOS. ENVASE CON UNA AMPOLLETA O FRASCO ÁMPULA. 
010-000-2242-00,CARBON ACTIVADO POLVO. ,CADA ENVASE CONTIENE: CARBON ACTIVADO 1 KG ENVASE CON UN KG. (PARA USO EN SERES HUMANOS).
010-000-5313-00,CASPOFUNGINA SOLUCIÓN INYECTABLE (5MG / 1 ML),CADA FRASCO ÁMPULA CON POLVO CONTIENE: ACETATO DE CASPOFUNGINA EQUIVALENTE A 50 MG DE CASPOFUNGINA. ENVASE CON FRASCO ÁMPULA CON POLVO PARA 10.5 ML (5 MG/ML).
010-000-4061-00,"CISATRACURIO, BESILATO DE SOLUCIÓN INYECTABLE. (2MG/5ML)",CADA ML CONTIENE: BESILATO DE CISATRACURIO EQUIVALENTE A 2 MG DE CISATRACURIO. ENVASE CON 1 AMPOLLETA CON 5 ML. 
010-000-4028-00,CLONIXINATO DE LISINA SOLUCIÓN INYECTABLE (100MG/2ML),CADA AMPOLLETA CONTIENE: CLONIXINATO DE LISINA 100 MG ENVASE CON 5 AMPOLLETAS DE 2 ML.
010-000-4246-01,CLOPIDOGREL GRAGEA O TABLETA. (75MG),CADA GRAGEA O TABLETA CONTIENE: BISULFATO DE CLOPIDOGREL O BISULFATO DE CLOPIDOGREL (POLIMORFO FORMA 2) EQUIVALENTE A 75 MG DE CLOPIDOGREL. ENVASE CON 28 GRAGEAS O TABLETAS.
010-000-2821-00,CLORANFENICOL SOLUCIÓN OFTÁLMICA. (5MG / 15ML),CADA ML CONTIENE: CLORANFENICOL LEVOGIRO 5 MG. ENVASE CON GOTERO INTEGRAL CON 15 ML. 
010-000-2822-00,CLORANFENICOL UNGÜENTO OFTALMICO (5 MG),"CADA G CONTIENE: CLORANFENICOL LEVOGIRO 5 MG, ENVASE CON 5 G."
010-000-0408-00,CLORFENAMINA JARABE. (0.5MG /  60ML),CADA MILILITRO CONTIENE: MALEATO DE CLORFENAMINA 0.5 MG. ENVASE CON 60 ML.
010-000-0402-00,CLORFENAMINA TABLETA ,CADA TABLETA CONTIENE: MALEATO DE CLORFENAMINA 4.0 MG. ENVASE CON 20 TABLETAS.
010-000-0524-00,CLORURO DE POTASIO SOLUCIÓN INYECTABLE (1.49G/10ML),"CADA AMPOLLETA CONTIENE: CLORURO DE POTASIO 1.49 G. (20 MILIEQUIVALENTES DE POTASIO, 20 MILIEQUIVALENTES DE CLORO) ENVASE CON 50 AMPOLLETAS CON 10 ML."
010-000-5386-00,CLORURO DE SODIO SOLUCIÓN INYECTABLE AL 17.7%,CADA ML CONTIENE: CLORURO DE SODIO 0.177 G . ENVASE CON CIEN AMPOLLETAS DE 10 ML.
010-000-2714-00,COMPLEJO B CADA TABLETA COMPRIMIDO O CAPSULA (100/5MG),"CONTINE: MONONITRATO O CLORHIDRATO DE TIAMINA 100 MG, CLORHIDRATO DE PIRIDOXINA 5 MG, ENVASE CON 30 TABLETAS, COMPRIMIDOS O CAPSULAS"
010-000-4241-00,DEXAMETASONA SOLUCIÓN INYECTABLE. (8MG/2ML),CADA FRASCO ÁMPULA O AMPOLLETA CONTIENE: FOSFATO SÓDICO DE DEXAMETASONA EQUIVALENTE A 8 MG DE FOSFATO DE DEXAMETASONA. ENVASE CON UN FRASCO ÁMPULA O AMPOLLETA CON 2 ML.
010-000-0247-01,DEXMEDETOMIDINA SOLUCIÓN INYECTABLE. (200MCG),CADA FRASCO ÁMPULA CONTIENE: CLORHIDRATO DE DEXMEDETOMIDINA 200 MICROGRAMOS. ENVASE CON 5 FRASCOS ÁMPULAS.  
010-000-3417-00,DICLOFENACO CÁPSULA O GRAGEA DE LIBERACIÓN PROLONGADA. (100MG),CADA CÁPSULA O GRAGEA CONTIENE: DICLOFENACO SODICO 100 MG ENVASE CON 20 CÁPSULAS O GRAGEAS.
010-000-5501-00,DICLOFENACO SOLUCIÓN INYECTABLE. (75MG/3ML),CADA AMPOLLETA CONTIENE: DICLOFENACO SÓDICO 75 MG. ENVASE CON 2 AMPOLLETAS CON 3 ML.
010-000-0406-00,DIFENHIDRAMINA SOLUCIÓN INYECTABLE. (100MG/10ML),CADA FRASCO ÁMPULA CONTIENE: CLORHIDRATO DE DIFENHIDRAMINA 100 MG.  ENVASE CON FRASCO ÁMPULA DE 10 ML.
010-000-3112-00,DIFENIDOL SOLUCIÓN INYECTABLE. (40MG/2ML),CADA AMPOLLETA CONTIENE: CLORHIDRATO DE DIFENIDOL EQUIVALENTE A 40 MG DE DIFENIDOL. ENVASE CON 2 AMPOLLETAS DE 2 ML.
010-000-0503-00,DIGOXINA ELIXIR. ,CADA ML CONTIENE: DIGOXINA 0.05 MG ENVASE CONTENIENDO 60 ML CON GOTERO CALIBRADO DE 1 ML INTEGRADO O ADJUNTO AL FRASCO Y LE SIRVE DE TAPA.
010-000-0504-00,DIGOXINA SOLUCIÓN INYECTABLE. (0.5MG/2ML),CADA AMPOLLETA CONTIENE: DIGOXINA 0.5 MG. ENVASE CON 6 AMPOLLETAS DE 2 ML. 
010-000-4203-00,DINOPROSTONA GEL (0.5MG),CADA JERINGA CONTIENE: DINOPROSTONA 0.5 MG ENVASE CON JERINGA Y CANULA.
